302,湖南省|,430000,2016-12-07 15:56:51.0
303,湖南省|湘西土家族苗族自治州|保靖县,433125,2016-12-07 15:56:51.0
304,湖南省|长沙市|,430100,2016-12-07 15:56:51.0
305,湖南省|长沙市|长沙县,430121,2016-12-07 15:56:51.0
306,湖南省|长沙市|芙蓉区,430102,2016-12-07 15:56:51.0
307,湖南省|长沙市|开福区,430105,2016-12-07 15:56:51.0
308,湖南省|长沙市|浏阳市,430181,2016-12-07 15:56:51.0
309,湖南省|长沙市|宁乡县,430124,2016-12-07 15:56:52.0
310,湖南省|长沙市|,430101,2016-12-07 15:56:52.0
311,湖南省|长沙市|天心区,430103,2016-12-07 15:56:52.0
312,湖南省|长沙市|望城县,430122,2016-12-07 15:56:52.0
313,湖南省|长沙市|雨花区,430111,2016-12-07 15:56:52.0
314,湖南省|长沙市|岳麓区,430104,2016-12-07 15:56:52.0
315,湖南省|常德市|,430700,2016-12-07 15:56:52.0
316,湖南省|常德市|安乡县,430721,2016-12-07 15:56:52.0
317,湖南省|常德市|鼎城区,430703,2016-12-07 15:56:52.0
318,湖南省|常德市|汉寿县,430722,2016-12-07 15:56:52.0
319,湖南省|常德市|津市,430781,2016-12-07 15:56:52.0
320,湖南省|常德市|澧县,430723,2016-12-07 15:56:52.0
321,湖南省|常德市|临澧县,430724,2016-12-07 15:56:52.0
322,湖南省|常德市|石门县,430726,2016-12-07 15:56:52.0
323,湖南省|常德市|,430701,2016-12-07 15:56:52.0
324,湖南省|常德市|桃源县,430725,2016-12-07 15:56:52.0
325,湖南省|常德市|武陵区,430702,2016-12-07 15:56:52.0
326,湖南省|郴州市|,431000,2016-12-07 15:56:52.0
327,湖南省|郴州市|安仁县,431028,2016-12-07 15:56:52.0
328,湖南省|郴州市|北湖区,431002,2016-12-07 15:56:52.0
329,湖南省|郴州市|桂东县,431027,2016-12-07 15:56:53.0
330,湖南省|郴州市|桂阳县,431021,2016-12-07 15:56:53.0
331,湖南省|郴州市|嘉禾县,431024,2016-12-07 15:56:53.0
332,湖南省|郴州市|临武县,431025,2016-12-07 15:56:53.0
333,湖南省|郴州市|汝城县,431026,2016-12-07 15:56:53.0
334,湖南省|郴州市|,431001,2016-12-07 15:56:53.0
335,湖南省|郴州市|苏仙区,431003,2016-12-07 15:56:53.0
336,湖南省|郴州市|宜章县,431022,2016-12-07 15:56:53.0
